Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Elec_6.3x7.7,1,220u,
"C10, C13, C14, C9",0805,4,1uF,
"C11, C12",0805,2,"4,7uF",
"C15, C8",0805,2,100n,
C7,0805,1,10u,
D1,D_DO-201AD_P15.24mm_Horizontal,1,1N5822,
"D10, D11, D12, D13, D14, D15, D4, D5, D6, D7, D8, D9",D_SMA,12,D,
D16,LED_D3.0mm,1,BLUE,
"D17, D19",LED_D3.0mm,2,GREEN,
D18,LED_D3.0mm,1,ORANGE,
F1,0805,1,2A,
FB1,0805,1,BLM21PG220,
"J10, J11, J12, J9",SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,4,Conn_01x02,
J2,USB_C_Receptacle_GCT_USB4085,1,USB_C_Receptacle_USB2.0_16P,
J4,PinHeader_2x03_P2.54mm_Vertical,1,Programming header,
J5,PinHeader_1x08_P2.54mm_Vertical,1,SPI for E-Ink Display,
J6,JST_B2B-PH-K-S,1,B2B-PH-K-S (Battery),
"R1, R2",0805,2,5.1k,
"R10, R11, R8",0805,3,10k,
R12,0805,1,100,
R13,0805,1,330,
"R14, R15, R16",0805,3,"1,5k",
R17,0805,1,"1,8k",
SW1,SW_PUSH_6mm,1,RESET,
"SW10, SW11, SW13, SW14, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_Cherry_MX_1.00u_PCB,11,SWITCH,
SW12,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch,
SW2,SW_PUSH_6mm,1,BOOT,
U1,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24075RGT,
U2,SOT-23-6,1,USBLC6-2SC6,
U3,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U6,SOT-23-5,1,AP2112K-3.3,
