Designator,Mid X,Mid Y,Rotation,Layer
C1,160.295,-81.67,0.0,bottom
C10,143.145,-91.4075,270.0,bottom
C11,146.745,-84.27,180.0,bottom
C12,151.245,-84.27,180.0,bottom
C13,154.495,-79.97,270.0,bottom
C14,151.245,-81.37,180.0,bottom
C15,158.595,-75.77,180.0,bottom
C7,145.4575,-58.47,180.0,bottom
C8,145.4575,-55.46,180.0,bottom
C9,149.345,-65.77,180.0,bottom
D1,162.225,-88.87,180.0,bottom
D10,136.445,-107.93,270.0,bottom
D11,136.445,-126.98,270.0,bottom
D12,137.195,-146.1,270.0,bottom
D13,155.345,-108.93,270.0,bottom
D14,155.495,-126.98,270.0,bottom
D15,156.245,-146.1,270.0,bottom
D16,174.075,-100.77,180.0,top
D17,174.075,-95.77,180.0,top
D18,174.075,-110.77,180.0,top
D19,174.075,-105.77,180.0,top
D4,98.345,-107.93,270.0,bottom
D5,98.345,-126.98,270.0,bottom
D6,99.095,-146.1,270.0,bottom
D7,117.395,-107.93,270.0,bottom
D8,117.395,-126.98,270.0,bottom
D9,118.145,-146.1,270.0,bottom
F1,167.645,-76.37,270.0,bottom
FB1,167.595,-81.07,270.0,bottom
H1,96.7,-58.2,0.0,top
H2,167.8,-58.2,0.0,top
H3,91.7,-146.6,0.0,top
H4,172.8,-146.6,0.0,top
J10,169.345,-95.77,90.0,bottom
J11,169.345,-111.045,90.0,bottom
J12,169.345,-106.095,90.0,bottom
J2,173.405,-71.095,90.0,top
J4,105.075,-66.23,0.0,bottom
J5,111.345,-73.0,180.0,top
J6,146.945,-79.67,270.0,bottom
J9,169.345,-100.77,90.0,bottom
R1,164.995,-76.27,270.0,bottom
R10,149.345,-62.77,0.0,bottom
R11,141.345,-75.77,180.0,bottom
R12,165.345,-99.77,0.0,bottom
R13,166.345,-94.77,90.0,bottom
R14,167.345,-113.77,0.0,bottom
R15,165.345,-106.77,0.0,bottom
R16,142.245,-88.27,180.0,bottom
R17,141.945,-84.27,0.0,bottom
R2,175.345,-69.77,90.0,bottom
R8,141.945,-81.27,180.0,bottom
SW1,152.345,-57.77,0.0,bottom
SW10,141.855,-119.97,0.0,top
SW11,141.855,-139.02,0.0,top
SW12,160.9,-102.725,270.0,top
SW13,160.905,-119.97,0.0,top
SW14,160.905,-139.02,0.0,top
SW2,113.845,-57.77,180.0,bottom
SW3,103.755,-100.92,0.0,top
SW4,103.755,-119.97,0.0,top
SW5,103.755,-139.02,0.0,top
SW6,122.805,-100.92,0.0,top
SW7,122.805,-119.97,0.0,top
SW8,122.805,-139.02,0.0,top
SW9,141.855,-100.92,0.0,top
U1,147.645,-89.17,270.0,bottom
U2,156.595,-71.1075,180.0,bottom
U3,133.125,-60.5,0.0,bottom
U6,151.1075,-78.02,0.0,bottom
